month,overdose_rate_baseline,overdose_rate_scenario
0,126.0,121.729
1,128.142,123.78
2,129.778,124.6
3,130.536,123.494
4,130.282,119.767
5,129.15,114.8
6,127.512,109.561
7,125.874,103.955
8,124.742,99.456
9,124.488,96.568
10,125.246,94.794
11,126.882,94.19
12,129.024,94.814
13,131.166,95.575
14,132.802,96.559
15,133.56,96.678
16,133.306,96.361
17,132.174,95.623
18,130.536,94.075
19,128.898,93.023
20,127.766,92.411
21,127.512,91.979
22,128.27,92.36
23,129.906,93.516
